# 16O_NNLOsat_PRC101_014318.dat from vittorio.soma@cea.fr 
# r[fm] rho_matter rho_proton rho_neutron rho_charge[fm-3]
9.50 0.00000000 0.00000000 0.00000000 0.00000000 
9.51 0.00000000 0.00000000 0.00000000 0.00000000 
9.52 0.00000000 0.00000000 0.00000000 0.00000000 
9.53 0.00000000 0.00000000 0.00000000 0.00000000 
9.54 0.00000000 0.00000000 0.00000000 0.00000000 
9.55 0.00000000 0.00000000 0.00000000 0.00000000 
9.56 0.00000000 0.00000000 0.00000000 0.00000000 
9.57 0.00000000 0.00000000 0.00000000 0.00000000 
9.58 0.00000000 0.00000000 0.00000000 0.00000000 
9.59 0.00000000 0.00000000 0.00000000 0.00000000 
9.60 0.00000000 0.00000000 0.00000000 0.00000000 
9.61 0.00000000 0.00000000 0.00000000 0.00000000 
9.62 0.00000000 0.00000000 0.00000000 0.00000000 
9.63 0.00000000 0.00000000 0.00000000 0.00000000 
9.64 0.00000000 0.00000000 0.00000000 0.00000000 
9.65 0.00000000 0.00000000 0.00000000 0.00000000 
9.66 0.00000000 0.00000000 0.00000000 0.00000000 
9.67 0.00000000 0.00000000 0.00000000 0.00000000 
9.68 0.00000000 0.00000000 0.00000000 0.00000000 
9.69 0.00000000 0.00000000 0.00000000 0.00000000 
9.70 0.00000000 0.00000000 0.00000000 0.00000000 
9.71 0.00000000 0.00000000 0.00000000 0.00000000 
9.72 0.00000000 0.00000000 0.00000000 0.00000000 
9.73 0.00000000 0.00000000 0.00000000 0.00000000 
9.74 0.00000000 0.00000000 0.00000000 0.00000000 
9.75 0.00000000 0.00000000 0.00000000 0.00000000 
9.76 0.00000000 0.00000000 0.00000000 0.00000000 
9.77 0.00000000 0.00000000 0.00000000 0.00000000 
9.78 0.00000000 0.00000000 0.00000000 0.00000000 
9.79 0.00000000 0.00000000 0.00000000 0.00000000 
9.80 0.00000000 0.00000000 0.00000000 0.00000000 
9.81 0.00000000 0.00000000 0.00000000 0.00000000 
9.82 0.00000000 0.00000000 0.00000000 0.00000000 
9.83 0.00000000 0.00000000 0.00000000 0.00000000 
9.84 0.00000000 0.00000000 0.00000000 0.00000000 
9.85 0.00000000 0.00000000 0.00000000 0.00000000 
9.86 0.00000000 0.00000000 0.00000000 0.00000000 
9.87 0.00000000 0.00000000 0.00000000 0.00000000 
9.88 0.00000000 0.00000000 0.00000000 0.00000000 
9.89 0.00000000 0.00000000 0.00000000 0.00000000 
9.90 0.00000000 0.00000000 0.00000000 0.00000000 
9.91 0.00000000 0.00000000 0.00000000 0.00000000 
9.92 0.00000000 0.00000000 0.00000000 0.00000000 
9.93 0.00000000 0.00000000 0.00000000 0.00000000 
9.94 0.00000000 0.00000000 0.00000000 0.00000000 
9.95 0.00000000 0.00000000 0.00000000 0.00000000 
9.96 0.00000000 0.00000000 0.00000000 0.00000000 
9.97 0.00000000 0.00000000 0.00000000 0.00000000 
9.98 0.00000000 0.00000000 0.00000000 0.00000000 
9.99 0.00000000 0.00000000 0.00000000 0.00000000 
